Section,BAT ID,Object,Redshift,D,Opt. class,Nuc. morph.,F_nu(N-band),F_nu(Q-band),d_unr,R_AS,R_tot
,,,,(Mpc),,,(mJy),(mJy),(pc),,
\ref{app:NGC1052},,NGC 1052,0.0050,19.4,L,?,138,355,31.7,0.75,0.678
\ref{app:NGC1068},,NGC 1068,0.0038,14.4,1.8/2,comp.,10206,19950,24.1,0.29,0.256
\ref{app:NGC1097},,NGC 1097,0.0042,17.0,L,circ.,17,46,27.1,0.12,0.006
\ref{app:NGC1144},20,NGC 1144,0.0288,128.0,2,?,25,,185,0.49,0.096
\ref{app:NGC1194},,NGC 1194,0.0136,58.2,1.9,-,277,,87,0.96,1.040
\ref{app:NGC1275},,NGC 1275,0.0176,76.8,1.5/L,?,917,,129,0.87,0.865
\ref{app:NGC1365},24,NGC 1365,0.0055,17.9,1.8,?,361,,29.8,0.42,0.070
\ref{app:NGC1386},,NGC 1386,0.0029,16.5,2,ellip.,299,427,31.4,0.51,0.576
\ref{app:NGC1433},,NGC 1433,0.0036,8.3,2:*,?,8,,15.9,0.26,0.032
\ref{app:NGC1553},,NGC 1553,0.0036,16.4,L,?,27,,52.6,0.73,0.209
\ref{app:NGC1566},,NGC 1566,0.0050,14.3,1.5,?,59,146,18.4,0.51,0.031
\ref{app:NGC1614},,NGC 1614,0.0159,71.0,Cp:*,spir.,346,654,130,0.23,0.250
\ref{app:NGC1667},,NGC 1667,0.0152,67.8,2,o,6,,127,0.61,0.009
\ref{app:NGC1808},,NGC 1808,0.0033,12.3,Cp:*,ellip.,329,,38.2,0.37,0.061
\ref{app:NGC2110},45,NGC 2110,0.0078,35.9,2,o,318,519,53.7,0.88,0.910
\ref{app:NGC2623},,NGC 2623,0.0185,87.3,Cp,o,178,334,257,0.56,0.850
\ref{app:NGC2992},68,NGC 2992,0.0077,39.7,1.5/2,spir.,191,542,63.2,0.58,0.304
\ref{app:NGC3081},70,NGC 3081,0.0080,40.9,2,o,162,353,62.3,0.60,
\ref{app:NGC3094},,NGC 3094,0.0080,40.8,2:*,-,1023,,79.1,,1.247
\ref{app:NGC3147},,NGC 3147,0.0093,30.1,2,o,19,,78.4,0.39,0.010
\ref{app:NGC3166},,NGC 3166,0.0045,25.3,L,?,6,,60.8,,0.020
\ref{app:NGC3169},,NGC 3169,0.0041,18.7,L,ellip.,8,,31,0.05,0.007
\ref{app:NGC3185},,NGC 3185,0.0041,20.3,2:*,?,31,,50.5,0.38,0.202
\ref{app:NGC3227},71,NGC 3227,0.0039,22.1,1.5,circ.,201,772,27.4,0.53,0.213
\ref{app:NGC3281},72,NGC 3281,0.0107,52.8,2,ellip.,486,870,78.2,0.65,0.535
\ref{app:NGC3312},,NGC 3312,0.0096,48.4,L,-,8,,71.2,,0.042
\ref{app:NGC3368},,NGC 3368,0.0030,10.6,L,?,15,,21.1,0.10,0.015
\ref{app:NGC3379},,NGC 3379,0.0030,10.6,L*,?,3,,15.6,0.13,0.012
\ref{app:NGC3393},,NGC 3393,0.0125,61.6,2,?,67,,77,0.61,0.513
\ref{app:NGC3486},,NGC 3486,0.0023,13.7,2/L*,?,5,,28.1,,0.008
\ref{app:NGC3521},,NGC 3521,0.0027,11.5,L/H*,?,10,,19.1,0.20,0.002
\ref{app:NGC3607},,NGC 3607,0.0032,21.4,2/L*,?,14,,49.3,0.50,
\ref{app:NGC3623},,NGC 3623,0.0027,12.8,L,?,17,,24.5,,0.111
\ref{app:NGC3627},,NGC 3627,0.0024,10.1,2/L*,comp.,13,,25.1,0.06,0.003
\ref{app:NGC3628},,NGC 3628,0.0028,12.2,L/H*,comp.,10,,22.9,0.02,0.003
\ref{app:NGC3660},,NGC 3660,0.0123,60.8,1.8/2/L/H*,o,26,,127,0.79,0.132
\ref{app:NGC3690E},,NGC 3690E,0.0104,49.1,Cp,o,280,,126,0.47,0.070
\ref{app:NGC3690W},,NGC 3690W,0.0104,48.2,Cp,o,773,,124,0.63,0.195
\ref{app:NGC3718},,NGC 3718,0.0033,17.0,L,?,22,,35,,0.150
\ref{app:NGC3783},79,NGC 3783,0.0097,48.4,1.5,?,682,1449,59.5,1.15,0.812
\ref{app:NGC3982},,NGC 3982,0.0037,21.4,2,?,27,,46,0.64,0.056
\ref{app:NGC3998},,NGC 3998,0.0035,14.1,L,?,71,153,24,0.64,0.514
\ref{app:NGC4051},85,NGC 4051,0.0023,12.2,1n,?,464,,27,0.79,0.344
\ref{app:NGC4074},86,NGC 4074,0.0224,107.0,2,o,68,,170,0.75,
\ref{app:NGC4111},,NGC 4111,0.0027,15.0,L,circ.,4,,37.9,,
\ref{app:NGC4138},88,NGC 4138,0.0030,13.8,1.9,?,21,,30.5,0.58,
\ref{app:NGC4151},89,NGC 4151,0.0033,13.3,1.5,o,1287,,29.8,0.74,0.641
\ref{app:NGC4235},,NGC 4235,0.0080,41.2,1.2,-,36,58,65.3,0.98,0.285
\ref{app:NGC4258},,NGC 4258,0.0015,7.6,2,?,107,,14.5,0.77,0.048
\ref{app:NGC4261},,NGC 4261,0.0075,31.7,L,?,13,22,48.1,0.51,0.073
\ref{app:NGC4278},,NGC 4278,0.0022,16.1,L,?,3,,30.7,0.16,0.013
\ref{app:NGC4303},,NGC 4303,0.0052,15.2,2*,?,6,,25.9,,0.002
\ref{app:NGC4374},,NGC 4374,0.0035,17.1,2/L,?,8,,29.5,,0.052
\ref{app:NGC4388},91,NGC 4388,0.0084,19.2,2,ellip.,188,763,33.1,0.49,0.186
\ref{app:NGC4395},92,NGC 4395,0.0011,4.3,1.8,?,10,,8.73,0.50,0.075
\ref{app:NGC4418},,NGC 4418,0.0073,37.8,2*,?,1427,3552,58.7,0.95,1.441
\ref{app:NGC4438},,NGC 4438,2.0E-4,13.7,L/H*,?,10,,30.5,0.17,0.049
\ref{app:NGC4457},,NGC 4457,0.0029,17.4,L*,circ.,6,,33.9,0.10,0.019
\ref{app:NGC4472},,NGC 4472,0.0033,17.1,2/L*,?,9,,29.2,0.58,0.066
\ref{app:NGC4501},,NGC 4501,0.0076,17.9,2,?,4,,36.4,0.23,0.002
\ref{app:NGC4507},94,NGC 4507,0.0118,57.5,2,-,623,,90.7,1.02,1.363
\ref{app:NGC4579},,NGC 4579,0.0051,16.8,L,?,75,101,25.6,0.70,0.067
