Object,D,F_nu(N-band),d_unr,Angular size
NGC 4636,15.6,7,23.9,316.0082608528614
NGC 4698,24.4,5,41.5,350.8192401332965
NGC 4736,4.9,13,13.1,551.4426452725208
NGC 4746,33.5,11,59.5,366.3509245283285
NGC 4785,59.0,17,105.0,367.0814348464305
NGC 4941,21.2,76,28.8,280.2087933922387
NGC 4945,3.7,22,5.68,316.64435121169646
NGC 4992,119.0,80,182.0,315.463821319027
NGC 5005,16.9,7,57.5,701.7885419642956
NGC 5033,18.1,16,32.8,373.78373728745345
NGC 5135,66.0,132,97.8,305.64694016609593
NGC 5252,109.0,69,157.0,297.097014502647
NGC 5258,107.0,19,181.0,348.91523299734143
NGC 5273,15.3,20,30.3,408.48520452842985
NGC 5347,38.1,278,94.1,509.4361750089737
NGC 5363,21.0,2,35.0,343.7746770784143
NGC 5427,29.4,20,58.4,409.7232885995396
NGC 5506,31.6,871,49.9,325.7156275863281
NGC 5548,80.7,124,132.0,337.3848131922013
NGC 5643,20.9,254,29.9,295.086971616609
NGC 5728,45.4,49,76.7,348.46939733807324
NGC 5813,29.7,7,49.1,340.99669988990314
NGC 5866,14.1,9,41.4,605.6285800442307
NGC 5953,31.4,29,59.6,391.5089952969188
NGC 5995,117.0,332,175.0,308.51573583961647
NGC 6221,10.7,104,21.0,404.8187786156666
NGC 6240N,114.0,17,274.0,495.75927115506306
NGC 6240S,113.0,93,294.0,536.6535666956825
NGC 6251,112.0,14,197.0,362.80506098810264
NGC 6300,14.3,554,20.0,288.48224649938834
NGC 6810,28.6,44,48.9,352.6695463454739
NGC 6814,20.1,96,33.5,343.7746770784143
NGC 6860,65.8,206,105.0,329.1459674155094
NGC 6890,33.8,117,56.9,347.23276554606537
NGC 7130,68.9,105,100.0,299.3683690087955
NGC 7172,34.8,185,52.2,309.3972093705865
NGC 7212,116.0,110,311.0,553.0030581276598
NGC 7213,23.0,203,32.9,295.0483532838396
NGC 7314,18.3,62,34.5,388.8598806296566
NGC 7469,67.9,485,109.0,331.11728837892
NGC 7479,30.0,695,54.5,374.7143980154553
NGC 7496,21.1,170,53.3,521.0385863964165
NGC 7552,20.4,63,39.3,397.3630826229597
NGC 7582,23.0,443,33.9,304.0163883380565
NGC 7590,26.5,11,43.5,338.58562534893116
NGC 7592W,105.0,135,276.0,542.1817764206268
NGC 7626,45.4,18,73.2,332.56792549084105
NGC 7674,126.0,382,175.0,286.47889756536557
NGC 7679,71.7,36,105.0,302.0614317425557
NGC 7743,19.2,9,28.8,309.3972093705865
PG 0026+129,691.0,32,1421.0,424.1711862185537
PG 0052+251,759.0,28,1328.0,360.8954712728248
PG 0844+349,302.0,39,643.0,439.1664583338836
PG 2130+099,288.0,188,451.0,323.00495700493553
Pictor A,161.0,75,249.0,319.0058183572469
PKS 1417-19,586.0,20,844.0,297.07763903160276
PKS 1814-63,302.0,28,595.0,406.3826480694789
PKS 1932-46,1191.0,2,2034.0,352.2608026083056
PKS 2158-380,149.0,19,284.0,393.14902667219883
PKS 2354-35,222.0,2,346.0,321.47577910576973
Superantennae S,291.0,221,440.0,311.87805755568763
UGC 5101,182.0,227,597.0,676.5938974143191
UGC 12348,110.0,98,282.0,528.7879578331756
Z 41-20,170.0,29,238.0,288.77072874588765
